Estrutura Utilizada: chained
Tamanho da tabela: 5315 palavras
Tempo para finalizar a tabela (em milissegundos): 27 milissegundos
Quantidade de comparações: 105718

Dicionário de Palavras:

|------------------------------|
| among           | 18         |
| amuse           | 7          |
| amused          | 5          |
| amusement       | 1          |
| amuses          | 1          |
| amusing         | 2          |
| an              | 591        |
| ancestors       | 1          |
| ancient         | 1          |
| and             | 3325       |
| angel           | 5          |
| anger           | 2          |
| angrily         | 1          |
| angry           | 19         |
| animal          | 13         |
| animals         | 8          |
| ann             | 3          |
| announced       | 5          |
| announcement    | 1          |
| announcing      | 1          |
| annoyance       | 1          |
| another         | 38         |
| answer          | 19         |
| answered        | 136        |
| ants            | 1          |
| anxiety         | 3          |
| anxious         | 4          |
| anxiously       | 7          |
| any             | 102        |
| anybody         | 2          |
| anyone          | 47         |
| anythin         | 9          |
| anything        | 60         |
| anywhere        | 10         |
| apart           | 1          |
| apartment       | 1          |
| apartments      | 1          |
| appalling       | 1          |
| apparent        | 1          |
| apparently      | 1          |
| appealingly     | 1          |
| appear          | 2          |
| appeared        | 5          |
| appearing       | 3          |
| appears         | 1          |
| appetite        | 8          |
| appetites       | 4          |
| apple           | 1          |
| apple-tree      | 4          |
| apple-trees     | 1          |
| applicable      | 3          |
| apply           | 1          |
| appreciative    | 1          |
| approach        | 2          |
| approaching     | 1          |
| approval        | 1          |
| approved        | 1          |
| apron           | 3          |
| aquilegia       | 1          |
| arch            | 3          |
| arched          | 3          |
| arches          | 1          |
| archibald       | 10         |
| archie          | 5          |
| archive         | 13         |
| ard             | 3          |
| are             | 206        |
| aren            | 3          |
| argued          | 2          |
| arise           | 1          |
| arm             | 16         |
| armchair        | 3          |
| armies          | 1          |
| armor           | 1          |
| arms            | 13         |
| around          | 7          |
| arranged        | 2          |
| array           | 1          |
| arrived         | 7          |
| arrow           | 1          |
| art             | 15         |
| as              | 803        |
| as-is           | 1          |
| ascii           | 2          |
| ashamed         | 1          |
| ashy            | 1          |
| aside           | 6          |
| ask             | 33         |
| asked           | 102        |
| askin           | 3          |
| asking          | 6          |
| asleep          | 19         |
| assist          | 1          |
| assistance      | 1          |
| associated      | 7          |
| assuming        | 1          |
| astonished      | 2          |
| astonishing     | 1          |
| astonishment    | 1          |
| astounding      | 1          |
| at              | 581        |
| ate             | 10         |
| athlete         | 4          |
| atmosphere      | 1          |
| atom            | 1          |
| atrophied       | 2          |
| attached        | 1          |
| attempt         | 1          |
| attempted       | 1          |
| attend          | 1          |
| attended        | 2          |
| attends         | 1          |
| attention       | 6          |
| attentively     | 1          |
| attract         | 1          |
| attracted       | 6          |
| attracting      | 1          |
| attraction      | 1          |
| aught           | 1          |
| aunts           | 1          |
| austerely       | 1          |
| austrian        | 1          |
| author          | 2          |
| authority       | 1          |
| autumn          | 5          |
| available       | 2          |
| avenue          | 2          |
| awake           | 15         |
| awaken          | 1          |
| awakened        | 8          |
| awakening       | 4          |
| aware           | 4          |
| away            | 117        |
| awful           | 3          |
| awfully         | 2          |
| awkward         | 3          |
| awkwardly       | 1          |
| awoke           | 3          |
| ax              | 3          |
| axed            | 1          |
| ayah            | 24         |
| aye             | 39         |
| b               | 3          |
| babies          | 3          |
| baby            | 8          |
| bachelder       | 2          |
| back            | 159        |
| backbone        | 2          |
| backs           | 1          |
| backward        | 5          |
| bacon           | 3          |
| bad             | 16         |
| badgers         | 4          |
| badness         | 1          |
| baffling        | 1          |
| bak             | 1          |
| bake            | 1          |
| bakin           | 1          |
| baking          | 2          |
| bald            | 1          |
| bands           | 1          |
| bandy           | 1          |
| bang            | 1          |
| bank            | 1          |
| bare            | 14         |
| bared           | 2          |
| barely          | 1          |
| bark            | 1          |
| barney          | 2          |
| bars            | 1          |
| based           | 2          |
| basil           | 9          |
| basket          | 3          |
| batteries       | 1          |
| battle          | 1          |
| be              | 392        |
| beak            | 9          |
| beaks           | 2          |
| beamed          | 1          |
| bean-stalk      | 1          |
| bear            | 12         |
| bearable        | 1          |
| beast           | 1          |
| beat            | 7          |
| beaten          | 1          |
| beating         | 6          |
| beautiful       | 25         |
| beautifully     | 1          |
| beauty          | 5          |
| became          | 16         |
| because         | 159        |
| beckoned        | 1          |
| become          | 8          |
| becoming        | 4          |
| bed             | 41         |
| bed-clothes     | 1          |
| bedding-out     | 1          |
| bedroom         | 3          |
| beds            | 9          |
| bedside         | 3          |
| beef            | 3          |
| been            | 279        |
| beer            | 2          |
| beer-mug        | 2          |
| bees            | 8          |
| beetle          | 1          |
| beetles         | 1          |
| before          | 109        |
| beg             | 1          |
| began           | 102        |
| beggar          | 1          |
| begged          | 2          |
| begin           | 23         |
| beginnin        | 1          |
| beginning       | 24         |
| begins          | 1          |
| begun           | 26         |
| beheld          | 2          |
| behind          | 15         |
| behold          | 1          |
| bein            | 10         |
| being           | 42         |
| beings          | 1          |
| belief          | 4          |
| believe         | 38         |
| believed        | 9          |
| believer        | 1          |
| believes        | 4          |
| believin        | 1          |
| bell            | 5          |
| bells           | 6          |
| belong          | 6          |
| belonged        | 2          |
| belongs         | 1          |
| below           | 10         |
| belt            | 1          |
| ben             | 136        |
| bend            | 2          |
| beneath         | 2          |
| bent            | 9          |
| berries         | 1          |
| beside          | 5          |
| besides         | 10         |
| besom           | 1          |
| bess            | 1          |
| best            | 22         |
| better          | 48         |
| betty           | 1          |
| between         | 10         |
| bewildered      | 1          |
| bewilderment    | 1          |
| bewitched       | 3          |
| beyond          | 2          |
| big             | 73         |
| bigger          | 7          |
| biggest         | 4          |
| binary          | 1          |
| bird            | 19         |
| birds           | 33         |
| biscuits        | 1          |
| bit             | 84         |
| bite            | 6          |
| bits            | 6          |
| bitten          | 1          |
| bitter          | 1          |
| black           | 40         |
| black-gloved    | 1          |
| black-lashed    | 1          |
| black-rimmed    | 2          |
| blackberries    | 1          |
| blacking-brush  | 1          |
| blackness       | 1          |
| blacks          | 5          |
| blade           | 1          |
| blades          | 3          |
| blamed          | 1          |
| blazing         | 1          |
| bleak           | 1          |
| bleat           | 1          |
| bleatin         | 1          |
| bless           | 6          |
| blessing        | 1          |
| blessings       | 2          |
| blew            | 3          |
| blinds          | 2          |
| bloat           | 1          |
| bloated         | 1          |
| blood           | 8          |
| blood-vessel    | 1          |
| bloom           | 8          |
| bloomed         | 2          |
| bloomin         | 1          |
| blooming        | 1          |
| blossom-time    | 1          |
| blossoming      | 1          |
| blossoms        | 9          |
| blow            | 1          |
| blowing         | 3          |
| blown           | 4          |
| blue            | 46         |
| blue-black      | 1          |
| blueness        | 4          |
| blunt           | 1          |
| blush           | 1          |
| boarding-school | 1          |
| boasted         | 1          |
| boat            | 1          |
| bob             | 5          |
| bobbing         | 3          |
| bodies          | 1          |
| body            | 17         |
| bold            | 8          |
| boldly          | 1          |
| bolt            | 1          |
| bolted          | 1          |
| bone            | 1          |
| bones           | 3          |
| bonnet          | 4          |
| book            | 6          |
| books           | 22         |
| boot            | 2          |
| boots           | 3          |
| border          | 1          |
| bordered        | 1          |
| borders         | 3          |
| bored           | 1          |
| born            | 16         |
| bosom           | 2          |
| both            | 42         |
| bottle          | 3          |
| bottom          | 1          |
| bottomless      | 1          |
| boudoir         | 1          |
| bough           | 1          |
| boughs          | 1          |
| bought          | 6          |
| bound           | 6          |
| bounteous       | 1          |
| bounties        | 1          |
| bowered         | 1          |
| bowl            | 1          |
| box             | 3          |
| boxin           | 1          |
| boy             | 108        |
| boyhood         | 1          |
| boyish          | 2          |
| boys            | 7          |
| brace           | 1          |
| brain           | 2          |
| branch          | 15         |
| branched        | 1          |
| branches        | 19         |
| brass           | 2          |
| bray            | 1          |
| brayin          | 1          |
| breach          | 2          |
| bread           | 10         |
| break           | 7          |
| breakfast       | 21         |
| breakfasted     | 1          |
| breakfasts      | 1          |
| breaking        | 1          |
| breaks          | 1          |
| breast          | 5          |
| breath          | 24         |
| breathe         | 9          |
| breathed        | 3          |
| breathin        | 1          |
| breathing       | 8          |
| breathless      | 5          |
| breaths         | 10         |
| bred            | 1          |
| breeze          | 1          |
| brick           | 1          |
| bricks          | 1          |
| bridge          | 1          |
| bridges         | 1          |
| brief           | 3          |
| bright          | 13         |
| bright-breasted | 1          |
| brightened      | 2          |
| brighter        | 1          |
| brilliant       | 6          |
| brim            | 1          |
| brims           | 1          |
| bring           | 21         |
| bringin         | 1          |
| bringing        | 2          |
| brings          | 1          |
| brisk           | 1          |
| briskly         | 1          |
| broad           | 13         |
| broadly         | 2          |
| brocade         | 4          |
| brocaded        | 2          |
| broke           | 11         |
| broken          | 7          |
| bromide         | 1          |
| brooch          | 1          |
| brood           | 2          |
| brooded         | 2          |
| broom           | 3          |
| brother         | 5          |
| brothers        | 6          |
| brougham        | 1          |
| brought         | 40         |
| brown           | 10         |
| brownish        | 1          |
| brows           | 3          |
| browt           | 1          |
| brush           | 3          |
| brushed         | 1          |
| brushes         | 1          |
| brute           | 2          |
| bubbled         | 1          |
| buckingham      | 1          |
| bud             | 1          |
| buds            | 12         |
| buffeting       | 1          |
| build           | 5          |
| buildin         | 2          |
| building        | 5          |
| built           | 2          |
| bulbs           | 8          |
| bumped          | 1          |
| bunch           | 1          |
| bundle          | 1          |
| bungalow        | 7          |
| bungalows       | 1          |
| buns            | 7          |
| burden          | 1          |
| buried          | 19         |
| burly           | 1          |
| burned          | 1          |
| burnett         | 2          |
| burning         | 1          |
| burrow          | 1          |
| burrows         | 2          |
| burst           | 13         |
| burstin         | 1          |
| bursting        | 1          |
| bursts          | 1          |
| buses           | 1          |
| bush            | 18         |
| bushes          | 11         |
| bushy           | 2          |
| bushy-tailed    | 1          |
| busier          | 1          |
| busily          | 2          |
| business        | 5          |
| busy            | 15         |
| but             | 479        |
| butcher         | 1          |
| butler          | 1          |
| butt            | 1          |
| butter          | 4          |
| buttered        | 2          |
| butterflies     | 3          |
| buttermilk      | 1          |
| buttermilk-faced | 1          |
| butterworth     | 1          |
| button          | 2          |
| buttoned        | 1          |
| buttons         | 1          |
| buy             | 9          |
| buys            | 1          |
| by              | 177        |
| c               | 5          |
| c-could         | 1          |
| cabbage         | 1          |
| cabbages        | 4          |
| cabinet         | 5          |
| cabs            | 1          |
| cake            | 2          |
| calculate       | 1          |
| calculated      | 1          |
| call            | 17         |
| called          | 26         |
| callin          | 6          |
| calling         | 9          |
| calls           | 6          |
| calm            | 3          |
| calmly          | 1          |
| calmness        | 3          |
| calves          | 1          |
| came            | 95         |
| camels          | 3          |
| campanulas      | 2          |
| can             | 168        |
| candle          | 5          |
| canna           | 5          |
| cannot          | 13         |
| canopy          | 7          |
| canterbury      | 1          |
| cap             | 6          |
| captain         | 12         |
| card            | 1          |
| care            | 33         |
| cared           | 2          |
| careful         | 12         |
| carefully       | 10         |
| carefulness     | 1          |
| cares           | 3          |
| carpet          | 6          |
| carriage        | 19         |
| carried         | 10         |
| carrots         | 1          |
| carry           | 9          |
| carryin         | 2          |
| carrying        | 1          |
| cart            | 3          |
| carved          | 3          |
| carven          | 2          |
| cascades        | 1          |
| case            | 2          |
| cast            | 2          |
| castle          | 1          |
| cat             | 2          |
| catch           | 1          |
| catchin         | 1          |
| cats            | 2          |
| caught          | 19         |
| cause           | 3          |
| cautious        | 2          |
| caw             | 7          |
| caw-caw         | 1          |
| cawed           | 3          |
| cawing          | 1          |
| cease           | 3          |
| ceased          | 7          |
| ceiling         | 1          |
| center          | 1          |
| centuries       | 1          |
| century         | 5          |
| ceremony        | 2          |
| certain         | 8          |
| certainly       | 4          |
| chair           | 31         |
| chair-carriage  | 1          |
| chairs          | 2          |
| chamber         | 2          |
| champion        | 3          |
| chance          | 6          |
| chances         | 1          |
| change          | 12         |
| changed         | 10         |
| changing        | 10         |
| chant           | 2          |
| chantin         | 1          |
| chanting        | 3          |
| chap            | 13         |
| chaps           | 1          |
| chapter         | 27         |
| charge          | 8          |
| charges         | 1          |
| charitable      | 1          |
| charities       | 1          |
| charm           | 3          |
| charmer         | 9          |
| charmers        | 1          |
| charming        | 1          |
| charms          | 3          |
| chase           | 1          |
| chased          | 1          |
| chat            | 1          |
| chattered       | 2          |
| chattering      | 1          |
| check           | 4          |
| checked         | 1          |
| checks          | 1          |
| cheek           | 3          |
| cheeks          | 24         |
| cheeky          | 1          |
| cheer           | 4          |
| cheered         | 2          |
| cheerful        | 13         |
| cheerfully      | 1          |
| cherries        | 1          |
| cherry          | 1          |
| cherry-tree     | 1          |
| cherry-trees    | 1          |
| chest           | 3          |
| chicken         | 2          |
| chief           | 2          |
| child           | 62         |
| childish        | 4          |
| children        | 54         |
| chilly          | 1          |
| chimneys        | 1          |
| chin            | 4          |
| chippering      | 1          |
| chirp           | 6          |
| chirped         | 6          |
| chirps          | 1          |
| chiseled        | 1          |
| choir           | 1          |
| choke           | 1          |
| choked          | 4          |
| choking         | 2          |
| cholera         | 7          |
| choose          | 2          |
| choosers        | 1          |
| chose           | 1          |
| chosen          | 2          |
| chuckle         | 1          |
| chuckled        | 8          |
| chuckles        | 1          |
| chuckling       | 2          |
| church          | 7          |
| cinders         | 1          |
| circle          | 3          |
| circles         | 1          |
| circumstances   | 1          |
| city            | 1          |
| civil           | 1          |
| claim           | 1          |
| clambered       | 1          |
| clasped         | 1          |
| clean           | 11         |
| clear           | 15         |
| cleared         | 3          |
| clearer         | 1          |
| clearing        | 1          |
| clearings       | 1          |
| clearly         | 1          |
| clemmin         | 1          |
| clench          | 1          |
| clergyman       | 2          |
| clever          | 8          |
| cleverer        | 1          |
| climb           | 2          |
| climbed         | 7          |
| climbing        | 9          |
| clinging        | 2          |
| clipped         | 4          |
| cloak           | 4          |
| clock           | 6          |
| clod            | 1          |
| close           | 25         |
| close-grown     | 2          |
| close-shut      | 1          |
| closed          | 16         |
| closely         | 1          |
| closer          | 6          |
| cloth           | 2          |
| clothes         | 13         |
| clotted         | 3          |
| cloud           | 1          |
| clouds          | 7          |
| clump           | 2          |
| clumping        | 1          |
| clumps          | 5          |
| clumsy          | 4          |
| clustered       | 1          |
| clusters        | 1          |
| clutch          | 1          |
| clutched        | 4          |
| coach           | 1          |
| coachman        | 1          |
| coal            | 2          |
| coarse          | 1          |
| coat            | 11         |
| coats           | 1          |
| coax            | 1          |
| coaxed          | 1          |
| coaxing         | 2          |
| cobwebs         | 1          |
| cock            | 2          |
| cockle          | 2          |
| codes           | 1          |
| cold            | 13         |
| coldly          | 3          |
| colds           | 1          |
| colin           | 333        |
| colins          | 1          |
| collar          | 1          |
| collars         | 1          |
| collected       | 1          |
| collection      | 6          |
| collie          | 1          |
| colonel         | 1          |
| color           | 20         |
| colored         | 4          |
| colorless       | 1          |
| colors          | 1          |
| columbine       | 2          |
| columbines      | 1          |
| combined        | 1          |
| come            | 177        |
| comes           | 14         |
| comfortable     | 16         |
| comfortably     | 2          |
| comforted       | 2          |
| comforting      | 1          |
| comin           | 8          |
| coming          | 38         |
| command         | 2          |
| commanded       | 5          |
| comment         | 1          |
| commercial      | 1          |
| committed       | 1          |
| common          | 10         |
| communicate     | 1          |
| como            | 1          |
| companion       | 1          |
| companions      | 2          |
| companionship   | 1          |
| company         | 3          |
| compare         | 2          |
| compilation     | 1          |
| complainin      | 2          |
| complaining     | 1          |
| complainingly   | 1          |
| complains       | 1          |
| compliance      | 5          |
| comply          | 6          |
| complying       | 3          |
| compound        | 1          |
| compressed      | 1          |
| computer        | 2          |
| computers       | 2          |
| conceal         | 1          |
| concealed       | 1          |
| concealing      | 1          |
| conceited       | 2          |
| concept         | 2          |
| concerning      | 2          |
| concert         | 1          |
| condescended    | 2          |
| condition       | 1          |
| conduct         | 1          |
| confessed       | 2          |
| confidence      | 1          |
| confirmation    | 1          |
| confirmed       | 3          |
| confused        | 1          |
| confusion       | 1          |
| consequence     | 1          |
| consequential   | 1          |
| considerable    | 2          |
| considering     | 1          |
| consort         | 1          |
| constant        | 1          |
| constantly      | 2          |
| consult         | 1          |
| contact         | 4          |
| contain         | 2          |
| contained       | 2          |
| containing      | 2          |
| content         | 1          |
| contents        | 1          |
| continued       | 2          |
| contract        | 1          |
| contradict      | 1          |
| contradicted    | 2          |
| contrariness    | 1          |
| contrary        | 20         |
| contributions   | 2          |
| control         | 3          |
| convert         | 1          |
| conveyed        | 1          |
| convincing      | 2          |
| cook            | 3          |
| cool            | 3          |
| coolly          | 1          |
| copied          | 2          |
| copies          | 7          |
| copious         | 1          |
| copy            | 12         |
| copying         | 4          |
| copyright       | 20         |
| cord            | 3          |
| cording         | 1          |
| corner          | 18         |
| corners         | 8          |
| corporation     | 1          |
| corridor        | 26         |
| corridors       | 9          |
| corrupt         | 1          |
| cost            | 4          |
| costs           | 2          |
| costumes        | 1          |
| cottage         | 33         |
| cottage-made    | 1          |
| cottager        | 1          |
| cottages        | 2          |
| cough           | 2          |
| coughs          | 1          |
| could           | 236        |
| couldn          | 22         |
| couldna         | 5          |
| count           | 3          |
| counted         | 7          |
| countries       | 1          |
| country         | 8          |
| courage         | 3          |
| courageous      | 2          |
| course          | 26         |
| court           | 1          |
| courtin         | 3          |
| courtyard       | 2          |
| cousin          | 7          |
| cousins         | 1          |
| cover           | 5          |
| covered         | 12         |
| covering        | 2          |
| coverings       | 1          |
| cow             | 1          |
| cow-shed        | 1          |
| crabbed         | 4          |
| crash           | 2          |
| craven          | 114        |
| crawford        | 6          |
| crazy           | 5          |
| cream           | 4          |
| created         | 3          |
| creating        | 4          |
| creation        | 1          |
| creature        | 13         |
| creatures       | 26         |
| credit          | 3          |
| crediting       | 1          |
| creep           | 2          |
| creepers        | 1          |
| creeping        | 6          |
| crep            | 1          |
| crêpe           | 1          |
| crept           | 9          |
| crevice         | 1          |
| crevices        | 1          |
| cried           | 62         |
| cries           | 2          |
| crime           | 1          |
| crimson         | 1          |
| cripple         | 5          |
| crippled        | 1          |
| critical        | 2          |
| crocuses        | 8          |
| crooked         | 8          |
| crookedness     | 1          |
| cross           | 16         |
| cross-legged    | 3          |
| crossed         | 2          |
| crosser         | 2          |
| crossin         | 1          |
| crossly         | 3          |
| crossness       | 1          |
| crow            | 13         |
| crowd           | 2          |
| crowded         | 3          |
| crowding        | 2          |
| crowds          | 1          |
| crown           | 1          |
| crows           | 1          |
| cruel           | 1          |
| crumbled        | 1          |
| crumbs          | 1          |
| crumpet         | 1          |
| crumpets        | 1          |
| crushed         | 1          |
| crust           | 1          |
| crustily        | 1          |
| crusty          | 1          |
| cry             | 12         |
| cryin           | 1          |
| crying          | 36         |
| crystal         | 2          |
| cub             | 5          |
| cubs            | 2          |
| cuddled         | 1          |
| cum             | 1          |
| cup             | 3          |
| cups            | 1          |
| cure            | 1          |
| curiosity       | 8          |
| curious         | 31         |
| curiousest      | 1          |
| curiously       | 10         |
| curiousness     | 2          |
| curled          | 2          |
| curly           | 3          |
| currant         | 2          |
| currants        | 1          |
| current         | 1          |
| curtain         | 14         |
| curtains        | 2          |
| curtsies        | 2          |
| curtsy          | 1          |
| curved          | 2          |
| curving         | 4          |
| cushion         | 9          |
| cushioned       | 3          |
| cushions        | 6          |
| custom          | 5          |
| cut             | 9          |
| d               | 108        |
| daffodils       | 3          |
| daffydowndillys | 3          |
| damage          | 2          |
| damaged         | 1          |
| damages         | 4          |
| damp            | 3          |
| dance           | 2          |
| danced          | 3          |
| dancing         | 1          |
| dang            | 1          |
| danged          | 1          |
| danger          | 1          |
| dangerous       | 5          |
| dangerously     | 1          |
| dappling        | 1          |
| dare            | 13         |
| dared           | 11         |
| daren           | 8          |
| dares           | 1          |
| dark            | 25         |
| darkest         | 1          |
| darkness        | 5          |
| darling         | 1          |
| darted          | 2          |
| dartin          | 1          |
| darting         | 1          |
| dash            | 1          |
| dashed          | 2          |
| dashing         | 1          |
| data            | 1          |
| date            | 3          |
| dated           | 1          |
| daughter        | 5          |
| dawn-time       | 1          |
| dawning         | 1          |
| day             | 106        |
| daylight        | 2          |
| days            | 32         |
| daytime         | 1          |
| dead            | 33         |
| deadness        | 1          |
| deal            | 25         |
| dear            | 7          |
| death           | 7          |
| decide          | 1          |
| decided         | 5          |
| decision        | 1          |
| declared        | 1          |
| deductible      | 1          |
| deep            | 19         |
| deepened        | 1          |
| deepening       | 2          |
| deeper          | 5          |
| deeply          | 1          |
| defect          | 3          |
| defective       | 3          |
| defects         | 1          |
| defiantly       | 1          |
| deformed        | 1          |
| defy            | 1          |
| defying         | 1          |
| del-phin-iums   | 1          |
| deletions       | 1          |
| delicate        | 9          |
| delicately      | 3          |
| delicatest      | 1          |
| delicious       | 1          |
| deliciously     | 1          |
| delight         | 10         |
| delighted       | 5          |
| delightedly     | 4          |
| delightful      | 7          |
| delightfully    | 1          |
| delightfulness  | 1          |
| delights        | 1          |
| delphiniums     | 1          |
| demand          | 1          |
| demanded        | 8          |
| den             | 1          |
| dense           | 1          |
| denying         | 1          |
| depends         | 1          |
| derivative      | 3          |
| derive          | 1          |
| derived         | 2          |
| dervishes       | 1          |
| descended       | 1          |
| describe        | 1          |
| described       | 3          |
| describing      | 1          |
| descriptions    | 1          |
| desert          | 1          |
| deserted        | 4          |
| deserve         | 1          |
| desire          | 2          |
| desired         | 1          |
| desolate        | 2          |
| desolation      | 1          |
| desperation     | 1          |
| despite         | 1          |
| destroy         | 2          |
| detach          | 1          |
| detail          | 1          |
| details         | 2          |
| determination   | 2          |
| determine       | 1          |
| determined      | 4          |
| determinedly    | 1          |
| detestation     | 1          |
| detested        | 2          |
| develop         | 1          |
| devote          | 1          |
| devotees        | 1          |
| devour          | 1          |
| devoured        | 1          |
| devouring       | 1          |
| dew-bright      | 2          |
| dewdrop         | 2          |
| dialect         | 2          |
| dialects        | 1          |
| diamonds        | 2          |
| dickon          | 312        |
| dictated        | 1          |
| did             | 287        |
| didn            | 44         |
| didna           | 1          |
| die             | 28         |
| died            | 20         |
| difference      | 1          |
| different       | 39         |
| difficult       | 2          |
| difficulties    | 1          |
| difficulty      | 3          |
| dig             | 14         |
| digestion       | 1          |
| digger          | 1          |
| diggin          | 5          |
| digging         | 14         |
| dignified       | 1          |
| dignity         | 2          |
| dim             | 2          |
| dimly           | 2          |
| diners          | 1          |
| dining-room     | 1          |
| dinner          | 14         |
| dip             | 1          |
| direct          | 2          |
| directed        | 1          |
| directly        | 1          |
| dirt            | 1          |
| disagree        | 1          |
| disagreeable    | 10         |
| disagreeable-looking | 1          |
| disagreed       | 1          |
| disagrees       | 1          |
| disappeared     | 2          |
| disappoint      | 1          |
| disappointed    | 3          |
| disappointedly  | 1          |
| disclaim        | 1          |
| disclaimer      | 3          |
| disclaimers     | 1          |
| discomfited     | 1          |
| disconcerting   | 1          |
| discontinue     | 1          |
| discouraged     | 1          |
| discouraging    | 1          |
| discover        | 2          |
| discovered      | 3          |
| discoverer      | 2          |
| discoveries     | 6          |
| discovery       | 3          |
| disdain         | 1          |
| disdainfully    | 2          |
| disdaining      | 1          |
| disentangle     | 1          |
| disgraceful     | 1          |
| disgracefully   | 1          |
| dishes          | 2          |
| disk            | 1          |
| disliked        | 6          |
| dislikes        | 1          |
| disobey         | 1          |
| display         | 1          |
| displayed       | 1          |
| displaying      | 4          |
| displeased      | 1          |
| disrespectful   | 1          |
| distance        | 6          |
| distended       | 1          |
| distinct        | 1          |
| distinctly      | 1          |
| distinguish     | 1          |
| distracted      | 2          |
| distribute      | 6          |
| distributed     | 4          |
| distributing    | 7          |
| distribution    | 6          |
| distributor     | 1          |
| disturb         | 1          |
| disturbed       | 8          |
| disturbing      | 1          |
| divide          | 1          |
| do              | 289        |
| doctor          | 19         |
| doctors         | 3          |
| does            | 62         |
| doesn           | 46         |
| dog             | 4          |
| dogs            | 2          |
| doin            | 5          |
| doing           | 29         |
| doleful         | 1          |
| doll            | 2          |
| dolls           | 2          |
| domain          | 3          |
| domestic        | 1          |
| don             | 116        |
| donate          | 5          |
| donation        | 1          |
| donations       | 15         |
| done            | 55         |
| donors          | 1          |
| door            | 128        |
| doors           | 25         |
| doubt           | 4          |
| doubted         | 1          |
| doubtful        | 2          |
| doughcake       | 1          |
| down            | 153        |
| downloading     | 1          |
| downright       | 2          |
| downstairs      | 11         |
| downward        | 1          |
| doxology        | 5          |
| doze            | 2          |
| dozen           | 1          |
| dozens          | 2          |
| dr              | 48         |
| draft           | 1          |
| drag            | 2          |
| dragged         | 4          |
| dragging        | 1          |
| drama           | 1          |
| dramatic        | 1          |
| drank           | 3          |
| drat            | 1          |
| draughts        | 1          |
| draw            | 5          |
| drawing         | 13         |
| drawn           | 10         |
| draws           | 1          |
| dreaded         | 1          |
| dreadful        | 3          |
| dreadfully      | 1          |
| dream           | 19         |
| dreamed         | 5          |
| dreaming        | 3          |
| dreams          | 3          |
| dreamy          | 2          |
| dreary          | 4          |
| dress           | 12         |
| dressed         | 7          |
| dresser         | 1          |
| dresses         | 1          |
| dressing        | 1          |
| dressing-gown   | 3          |
| drew            | 13         |
| drifted         | 1          |
| drifting        | 1          |
| drill           | 1          |
| drink           | 3          |
| drinkin         | 1          |
| dripping        | 1          |
| drive           | 6          |
| driven          | 5          |
| drivin          | 1          |
| driving         | 2          |
| drone           | 1          |
| drop            | 4          |
